Month,Volume_Mn,Value_Cr,Avg_Transaction_Value_Rs,Banks_On_UPI,Cumulative_Volume_Mn
04-01-2016,0,0,0,21,0
05-01-2016,0,0,0,21,0
06-01-2016,0,0,0,21,0
07-01-2016,0.09,0.38,42.22,21,0.09
08-01-2016,0.09,3.09,343.33,21,0.18
09-01-2016,0.09,32.64,3626.67,25,0.27
10-01-2016,0.1,48.57,4857,26,0.37
11-01-2016,0.29,100.46,3464.14,30,0.66
12-01-2016,1.99,707.93,3557.44,35,2.65
01-01-2017,4.46,1696.22,3803.18,36,7.11
02-01-2017,4.38,1937.71,4424,44,11.49
03-01-2017,6.37,2425.14,3807.13,44,17.86
04-01-2017,7.2,2271.24,3154.5,48,25.06
05-01-2017,9.36,2797.07,2988.32,49,34.42
06-01-2017,10.35,3098.36,2993.58,52,44.77
07-01-2017,11.63,3411.35,2933.23,53,56.4
08-01-2017,16.8,4156.62,2474.18,55,73.2
09-01-2017,30.98,5325.81,1719.11,57,104.18
10-01-2017,76.96,7057.78,917.07,60,181.14
11-01-2017,105.02,9669.33,920.71,61,286.16
12-01-2017,145.64,13174.24,904.58,67,431.8
01-01-2018,151.83,15571.2,1025.57,71,583.63
02-01-2018,171.4,19126.2,1115.88,86,755.03
03-01-2018,178.05,24172.6,1357.63,91,933.08
04-01-2018,190.08,27021.85,1421.6,97,1123.16
05-01-2018,189.48,33288.51,1756.84,101,1312.64
06-01-2018,246.37,40834.03,1657.43,110,1559.01
07-01-2018,273.75,51843.14,1893.81,114,1832.76
08-01-2018,312.02,54212.26,1737.46,114,2144.78
09-01-2018,405.87,59835.36,1474.25,122,2550.65
10-01-2018,482.36,74978.27,1554.4,128,3033.01
11-01-2018,524.94,82232.21,1566.51,128,3557.95
12-01-2018,620.17,102594.82,1654.3,129,4178.12
01-01-2019,672.75,109932.43,1634.08,134,4850.87
02-01-2019,674.19,106737.12,1583.19,139,5525.06
03-01-2019,799.54,133460.72,1669.22,142,6324.6
04-01-2019,781.79,142034.39,1816.78,144,7106.39
05-01-2019,733.54,152449.29,2078.27,143,7839.93
06-01-2019,754.54,146566.35,1942.46,142,8594.47
07-01-2019,822.29,146386.64,1780.23,143,9416.76
08-01-2019,918.35,154504.89,1682.42,141,10335.11
09-01-2019,955.02,161456.56,1690.61,141,11290.13
10-01-2019,1148.36,191359.94,1666.38,141,12438.49
11-01-2019,1218.77,189229.09,1552.62,143,13657.26
