Date,Volume_Mn,Value_Cr,Day_of_Week,Day_of_Month,Is_Weekend,Month_Year,Avg_Transaction_Value_Rs
01-05-2021,86.24,18140.21,Saturday,1,Weekend,May-2021,2103.456633
02-05-2021,79.37,13692.47,Sunday,2,Weekend,May-2021,1725.144261
03-05-2021,87.72,20191.07,Monday,3,Weekday,May-2021,2301.763566
04-05-2021,89.31,20005.02,Tuesday,4,Weekday,May-2021,2239.952973
05-05-2021,87.7,19438.15,Wednesday,5,Weekday,May-2021,2216.436716
06-05-2021,85.35,18425.68,Thursday,6,Weekday,May-2021,2158.837727
07-05-2021,86.31,18247.77,Friday,7,Weekday,May-2021,2114.212722
08-05-2021,83.45,16365.41,Saturday,8,Weekend,May-2021,1961.103655
09-05-2021,79.4,13425.59,Sunday,9,Weekend,May-2021,1690.880353
10-05-2021,84.92,18772.21,Monday,10,Weekday,May-2021,2210.575836
11-05-2021,90.01,18267.37,Tuesday,11,Weekday,May-2021,2029.48228
12-05-2021,85.77,17402.93,Wednesday,12,Weekday,May-2021,2029.022968
13-05-2021,85.17,16038.79,Thursday,13,Weekday,May-2021,1883.15017
14-05-2021,81.17,14038.22,Friday,14,Weekday,May-2021,1729.483799
15-05-2021,80.53,14824.99,Saturday,15,Weekend,May-2021,1840.927605
16-05-2021,71.28,10804.95,Sunday,16,Weekend,May-2021,1515.84596
17-05-2021,80.02,15977.6,Monday,17,Weekday,May-2021,1996.700825
18-05-2021,80.3,15314.82,Tuesday,18,Weekday,May-2021,1907.200498
19-05-2021,80.3,15542.35,Wednesday,19,Weekday,May-2021,1935.535492
20-05-2021,79.34,15265.44,Thursday,20,Weekday,May-2021,1924.053441
21-05-2021,80.06,14967.99,Friday,21,Weekday,May-2021,1869.596553
22-05-2021,76.95,13312.11,Saturday,22,Weekend,May-2021,1729.968811
23-05-2021,75.61,11237.42,Sunday,23,Weekend,May-2021,1486.234625
24-05-2021,80.03,15851.67,Monday,24,Weekday,May-2021,1980.715982
25-05-2021,79.93,15027.36,Tuesday,25,Weekday,May-2021,1880.065057
26-05-2021,78.64,12817.62,Wednesday,26,Weekday,May-2021,1629.910987
27-05-2021,77.53,9669.18,Thursday,27,Weekday,May-2021,1247.15336
28-05-2021,80.23,21033.64,Friday,28,Weekday,May-2021,2621.667705
29-05-2021,79.3,14114.81,Saturday,29,Weekend,May-2021,1779.925599
30-05-2021,76.97,11414.94,Sunday,30,Weekend,May-2021,1483.037547
31-05-2021,90.66,20732.78,Monday,31,Weekday,May-2021,2286.871829
01-06-2021,97.81,21837.51,Tuesday,1,Weekday,Jun-2021,2232.645946
02-06-2021,98.14,20668.35,Wednesday,2,Weekday,Jun-2021,2106.006725
03-06-2021,92.8,19629.84,Thursday,3,Weekday,Jun-2021,2115.284483
04-06-2021,90.82,18987.07,Friday,4,Weekday,Jun-2021,2090.626514
05-06-2021,92.12,18465.68,Saturday,5,Weekend,Jun-2021,2004.524533
06-06-2021,85.06,13881.64,Sunday,6,Weekend,Jun-2021,1631.98213
07-06-2021,95.85,20566.61,Monday,7,Weekday,Jun-2021,2145.707877
08-06-2021,95.95,19555.25,Tuesday,8,Weekday,Jun-2021,2038.066701
09-06-2021,95.93,19616.4,Wednesday,9,Weekday,Jun-2021,2044.866048
10-06-2021,96.07,19826.78,Thursday,10,Weekday,Jun-2021,2063.78474
11-06-2021,94.84,19013.39,Friday,11,Weekday,Jun-2021,2004.785955
12-06-2021,91.48,16646.22,Saturday,12,Weekend,Jun-2021,1819.656756
13-06-2021,85.17,12899.97,Sunday,13,Weekend,Jun-2021,1514.614301
14-06-2021,97.37,20359.99,Monday,14,Weekday,Jun-2021,2090.992092
15-06-2021,96.86,19631.73,Tuesday,15,Weekday,Jun-2021,2026.814991
16-06-2021,95.89,19341.99,Wednesday,16,Weekday,Jun-2021,2017.101888
17-06-2021,91.45,17975.02,Thursday,17,Weekday,Jun-2021,1965.557135
18-06-2021,96.81,18847.37,Friday,18,Weekday,Jun-2021,1946.841235
19-06-2021,92.34,16946.72,Saturday,19,Weekend,Jun-2021,1835.252328
20-06-2021,86.16,12949.17,Sunday,20,Weekend,Jun-2021,1502.921309
21-06-2021,96.77,19694.06,Monday,21,Weekday,Jun-2021,2035.141056
22-06-2021,93.78,18529.74,Tuesday,22,Weekday,Jun-2021,1975.873321
23-06-2021,88.61,16920.82,Wednesday,23,Weekday,Jun-2021,1909.583568
24-06-2021,90.12,17171.85,Thursday,24,Weekday,Jun-2021,1905.442743
25-06-2021,93.53,17648.46,Friday,25,Weekday,Jun-2021,1886.930397
26-06-2021,92.32,15638.86,Saturday,26,Weekend,Jun-2021,1693.983969
27-06-2021,85.35,11945.99,Sunday,27,Weekend,Jun-2021,1399.647335
28-06-2021,95.75,19199.12,Monday,28,Weekday,Jun-2021,2005.130026
29-06-2021,97.16,19122.24,Tuesday,29,Weekday,Jun-2021,1968.118567
30-06-2021,105.19,23855.32,Wednesday,30,Weekday,Jun-2021,2267.831543
01-07-2021,105.23,23416.77,Thursday,1,Weekday,Jul-2021,2225.294118
02-07-2021,108.15,22773.32,Friday,2,Weekday,Jul-2021,2105.716135
03-07-2021,104.45,20784,Saturday,3,Weekend,Jul-2021,1989.851604
04-07-2021,97.95,16400.08,Sunday,4,Weekend,Jul-2021,1674.331802
05-07-2021,109.22,23601.76,Monday,5,Weekday,Jul-2021,2160.937557
06-07-2021,107.72,21426.67,Tuesday,6,Weekday,Jul-2021,1989.107872
07-07-2021,110.04,23158.49,Wednesday,7,Weekday,Jul-2021,2104.551981
08-07-2021,108.63,19593.6,Thursday,8,Weekday,Jul-2021,1803.700635
09-07-2021,110.29,22376.23,Friday,9,Weekday,Jul-2021,2028.853931
10-07-2021,105.33,17381.76,Saturday,10,Weekend,Jul-2021,1650.219311
