Month,Banks_On_UPI,Volume_Mn,Value_Cr,Avg_Transaction_Value_Rs
01-04-2016,21,0,0,0
01-05-2016,21,0,0,0
01-06-2016,21,0,0,0
01-07-2016,21,0.09,0.38,42.22222222
01-08-2016,21,0.09,3.09,343.3333333
01-09-2016,25,0.09,32.64,3626.666667
01-10-2016,26,0.1,48.57,4857
01-11-2016,30,0.29,100.46,3464.137931
01-12-2016,35,1.99,707.93,3557.437186
01-01-2017,36,4.46,1696.22,3803.183857
01-02-2017,44,4.38,1937.71,4423.995434
01-03-2017,44,6.37,2425.14,3807.127159
01-04-2017,48,7.2,2271.24,3154.5
01-05-2017,49,9.36,2797.07,2988.32265
01-06-2017,52,10.35,3098.36,2993.584541
01-07-2017,53,11.63,3411.35,2933.233018
01-08-2017,55,16.8,4156.62,2474.178571
01-09-2017,57,30.98,5325.81,1719.112331
01-10-2017,60,76.96,7057.78,917.0712058
01-11-2017,61,105.02,9669.33,920.7131975
01-12-2017,67,145.64,13174.24,904.575666
01-01-2018,71,151.83,15571.2,1025.56807
01-02-2018,86,171.4,19126.2,1115.88098
01-03-2018,91,178.05,24172.6,1357.629879
01-04-2018,97,190.08,27021.85,1421.604061
01-05-2018,101,189.48,33288.51,1756.835022
01-06-2018,110,246.37,40834.03,1657.427041
01-07-2018,114,273.75,51843.14,1893.813333
01-08-2018,114,312.02,54212.26,1737.46106
01-09-2018,122,405.87,59835.36,1474.24939
01-10-2018,128,482.36,74978.27,1554.404801
01-11-2018,128,524.94,82232.21,1566.506839
01-12-2018,129,620.17,102594.82,1654.301562
01-01-2019,134,672.75,109932.43,1634.075511
01-02-2019,139,674.19,106737.12,1583.190495
01-03-2019,142,799.54,133460.72,1669.218801
01-04-2019,144,781.79,142034.39,1816.784431
01-05-2019,143,733.54,152449.29,2078.268261
01-06-2019,142,754.54,146566.35,1942.459644
01-07-2019,143,822.29,146386.64,1780.231305
01-08-2019,141,918.35,154504.89,1682.418359
01-09-2019,141,955.02,161456.56,1690.609202
01-10-2019,141,1148.36,191359.94,1666.375875
01-11-2019,143,1218.77,189229.09,1552.623465
01-12-2019,143,1308.4,202520.76,1547.850504
01-01-2020,144,1305.02,216242.97,1657.008858
01-02-2020,146,1325.69,222516.95,1678.499121
01-03-2020,148,1246.84,206462.31,1655.884556
01-04-2020,153,999.57,151140.66,1512.056784
01-05-2020,155,1234.5,218391.6,1769.069259
01-06-2020,155,1336.93,261835,1958.479502
01-07-2020,164,1497.36,290537.86,1940.334055
01-08-2020,168,1618.83,298307.61,1842.735865
01-09-2020,174,1800.14,329027.66,1827.789283
01-10-2020,189,2071.62,386106.74,1863.791332
01-11-2020,200,2210.23,390999.15,1769.042815
01-12-2020,207,2234.16,416176.21,1862.786058
01-01-2021,207,2302.73,431181.89,1872.481316
01-02-2021,213,2292.9,425062.76,1853.821623
01-03-2021,216,2731.68,504886.44,1848.263486
01-04-2021,220,2641.06,493663.68,1869.187675
01-05-2021,224,2539.57,490638.65,1931.975295
01-06-2021,229,2807.51,547373.17,1949.674872
01-07-2021,235,3247.82,606281.14,1866.732578
01-08-2021,249,3555.55,639116.95,1797.51923
01-09-2021,259,3654.3,654351.81,1790.63517
01-10-2021,261,4218.65,771444.98,1828.653669
01-11-2021,274,4186.48,768436.11,1835.518407
01-12-2021,282,4566.3,826848.22,1810.76193
01-01-2022,297,4617.15,831993.11,1801.962488
01-02-2022,304,4527.49,826843,1826.272394
01-03-2022,314,5405.65,960581.66,1776.995662
01-04-2022,316,5583.05,983302.27,1761.22777
01-05-2022,323,5955.2,1041520.07,1748.925427
01-06-2022,330,5862.75,1014384.31,1730.219283
01-07-2022,338,6288.4,1062991.76,1690.400992
01-08-2022,346,6579.63,1072792.68,1630.475695
01-09-2022,358,6780.8,1116438.1,1646.469591
01-10-2022,365,7305.42,1211582.51,1658.470711
01-11-2022,376,7309.45,1190593.39,1628.841281
01-12-2022,382,7829.49,1282055.01,1637.469375
01-01-2023,385,8036.89,1298726.62,1615.956695
01-02-2023,390,7534.76,1235846.62,1640.193742
01-03-2023,399,8685.3,1410443.01,1623.942765
01-04-2023,414,8863.26,1415504.71,1597.047486
01-05-2023,445,9415.19,1489145.44,1581.641411
01-06-2023,458,9335.06,1475464.26,1580.56216
01-07-2023,473,9964.61,1533536.44,1538.9829
01-08-2023,484,10586.02,1576536.56,1489.262782
01-09-2023,492,10555.69,1579133.18,1496.001853
01-10-2023,505,11408.79,1715768.34,1503.900361
01-11-2023,516,11235.29,1739740.61,1548.460796
01-12-2023,522,12020.23,1822949.42,1516.567836
01-01-2024,550,12203.02,1841083.97,1508.711753
01-02-2024,560,12102.67,1827869.35,1510.302561
01-03-2024,572,13440,1978353.23,1471.98901
01-04-2024,583,13303.99,1964464.52,1476.598013
01-05-2024,598,14035.84,2044937.05,1456.939556
01-06-2024,602,13885.14,2007081.2,1445.48863
01-07-2024,605,14435.55,2064292.41,1430.006068
01-08-2024,608,14963.05,2060735.57,1377.216256
01-09-2024,622,15041.75,2063994.71,1372.177247
01-10-2024,632,16584.97,2349821.46,1416.837932
01-11-2024,637,15482.02,2155187.4,1392.058271
01-12-2024,641,16730.01,2324699.91,1389.538865
01-01-2025,647,16996,2348037.12,1381.52337
01-02-2025,653,16106.19,2196481.69,1363.750018
01-03-2025,661,18301.51,2477221.61,1353.561324
01-04-2025,668,17893.42,2394925.87,1338.439421
01-05-2025,673,18677.46,2514297.01,1346.166454
01-06-2025,675,18395.01,2403930.69,1306.83848
01-07-2025,684,19467.95,2508498.09,1288.527087
01-08-2025,688,20008.31,2485472.91,1242.220312
01-09-2025,686,19633.43,2489736.54,1268.11084
01-10-2025,683,20700.92,2727790.68,1317.71471
01-11-2025,684,20466.98,2631632.63,1285.794304
01-12-2025,685,21634.67,2796712.73,1292.69951
01-01-2026,691,21703.44,2833481.22,1305.544752
01-02-2026,694,20394.18,2684229.29,1316.174168
